기준년월,행정동코드,행정동명,연령별,월별 일평균 주거인구수 평균,월별 일평균 직장인구수 평균,월별 일평균 방문인구수 평균
2025-12,2611051000,중구 중앙동,20대,"14,009","18,455","25,012"
2025-12,2611051000,중구 중앙동,20대미만,"6,197","1,082","9,234"
2025-12,2611051000,중구 중앙동,30대,"12,208","27,354","30,178"
2025-12,2611051000,중구 중앙동,40대,"16,422","24,410","29,296"
2025-12,2611051000,중구 중앙동,50대,"18,327","25,225","32,483"
2025-12,2611051000,중구 중앙동,60대,"21,245","11,469","26,324"
2025-12,2611052000,중구 동광동,20대,"2,762","1,326","4,457"
2025-12,2611052000,중구 동광동,20대미만,"1,355",198,"1,258"
2025-12,2611052000,중구 동광동,30대,"2,984","2,624","4,606"
2025-12,2611052000,중구 동광동,40대,"4,064","3,303","5,160"
2025-12,2611052000,중구 동광동,50대,"5,188","3,143","5,542"
2025-12,2611052000,중구 동광동,60대,"9,134","1,515","5,469"
2025-12,2611052000,중구 동광동,기타,"14,776",631,"4,617"
2025-12,2611053000,중구 대청동,20대,"10,391","4,304","6,985"
2025-12,2611053000,중구 대청동,20대미만,"5,405","1,248","3,215"
2025-12,2611053000,중구 대청동,30대,"8,704","4,865","6,935"
2025-12,2611053000,중구 대청동,40대,"10,832","5,111","6,832"
2025-12,2611053000,중구 대청동,50대,"14,721","5,206","8,440"
2025-12,2611053000,중구 대청동,60대,"20,868","3,187","8,532"
2025-12,2611053000,중구 대청동,기타,"27,254","1,523","7,753"
2025-12,2611054500,중구 보수동,20대,"22,241","2,194","5,191"
2025-12,2611054500,중구 보수동,20대미만,"7,081","1,281","2,312"
2025-12,2611054500,중구 보수동,30대,"12,720","1,703","3,398"
2025-12,2611054500,중구 보수동,40대,"12,228","2,318","4,286"
2025-12,2611054500,중구 보수동,50대,"27,561","3,935","5,802"
2025-12,2611054500,중구 보수동,60대,"26,180","2,960","6,915"
2025-12,2611054500,중구 보수동,기타,"27,024",838,"6,675"
2025-12,2611056000,중구 부평동,20대,"7,458","2,460","20,147"
2025-12,2611056000,중구 부평동,20대미만,"3,373",187,"5,344"
2025-12,2611056000,중구 부평동,30대,"6,235","4,976","18,384"
2025-12,2611056000,중구 부평동,40대,"7,165","4,969","18,701"
2025-12,2611056000,중구 부평동,50대,"11,724","6,579","25,240"
2025-12,2611056000,중구 부평동,60대,"15,503","5,279","26,910"
2025-12,2611056000,중구 부평동,기타,"20,825","2,432","19,814"
2025-12,2611057000,중구 광복동,20대,597,"1,662","5,917"
2025-12,2611057000,중구 광복동,20대미만,564,525,"3,725"
2025-12,2611057000,중구 광복동,30대,808,"1,668","5,361"
2025-12,2611057000,중구 광복동,40대,"1,365","2,241","6,063"
2025-12,2611057000,중구 광복동,50대,"2,138","3,093","6,391"
2025-12,2611057000,중구 광복동,60대,"3,215","4,011","6,834"
2025-12,2611057000,중구 광복동,기타,"4,250","2,256","4,946"
2025-12,2611058000,중구 남포동,20대,"2,088","5,048","20,930"
2025-12,2611058000,중구 남포동,20대미만,"1,154",249,"11,652"
2025-12,2611058000,중구 남포동,30대,"3,574","7,018","20,707"
2025-12,2611058000,중구 남포동,40대,"4,224","7,423","22,768"
2025-12,2611058000,중구 남포동,50대,"8,039","9,710","32,188"
2025-12,2611058000,중구 남포동,60대,"8,232","11,490","41,056"
2025-12,2611058000,중구 남포동,기타,"6,488","6,323","34,042"
2025-12,2611059000,중구 영주1동,20대,"1,474",460,"1,501"
2025-12,2611059000,중구 영주1동,20대미만,602,1,264
2025-12,2611059000,중구 영주1동,30대,"1,517",567,"1,287"
2025-12,2611059000,중구 영주1동,40대,"1,297",398,"1,122"
2025-12,2611059000,중구 영주1동,50대,"1,632",448,"1,606"
2025-12,2611059000,중구 영주1동,60대,"2,635",441,"1,558"
2025-12,2611059000,중구 영주1동,기타,"3,035",230,"1,383"
2025-12,2611060000,중구 영주2동,20대,"7,584",881,"2,850"
2025-12,2611060000,중구 영주2동,20대미만,"6,207",721,"2,059"
2025-12,2611060000,중구 영주2동,30대,"7,591",919,"3,000"
2025-12,2611060000,중구 영주2동,40대,"11,011","1,181","3,385"
2025-12,2611060000,중구 영주2동,50대,"18,671","2,098","4,508"
2025-12,2611060000,중구 영주2동,60대,"24,467","1,457","6,224"
2025-12,2611060000,중구 영주2동,기타,"37,650",502,"6,975"
2025-12,2614051000,서구 동대신1동,20대,"7,218",721,"3,584"
2025-12,2614051000,서구 동대신1동,20대미만,"5,583",696,"3,148"
2025-12,2614051000,서구 동대신1동,30대,"8,308",764,"3,336"
2025-12,2614051000,서구 동대신1동,40대,"9,076","1,265","4,147"
2025-12,2614051000,서구 동대신1동,50대,"12,386","1,220","5,330"
2025-12,2614051000,서구 동대신1동,60대,"14,208","1,582","5,322"
2025-12,2614051000,서구 동대신1동,기타,"20,396",468,"5,663"
2025-12,2614052000,서구 동대신2동,20대,"4,426",495,"1,275"
2025-12,2614052000,서구 동대신2동,20대미만,"3,651","1,951","1,881"
2025-12,2614052000,서구 동대신2동,30대,"3,802",585,"1,330"
2025-12,2614052000,서구 동대신2동,40대,"9,507",881,"1,975"
2025-12,2614052000,서구 동대신2동,50대,"11,195","1,474","2,730"
2025-12,2614052000,서구 동대신2동,60대,"19,610",985,"2,969"
2025-12,2614052000,서구 동대신2동,기타,"22,307",378,"2,693"
2025-12,2614053000,서구 동대신3동,20대,"15,008","7,817","12,338"
2025-12,2614053000,서구 동대신3동,20대미만,"11,007","3,514","8,581"
2025-12,2614053000,서구 동대신3동,30대,"10,325","5,900","10,161"
2025-12,2614053000,서구 동대신3동,40대,"13,328","5,610","12,855"
2025-12,2614053000,서구 동대신3동,50대,"18,103","6,198","16,081"
2025-12,2614053000,서구 동대신3동,60대,"20,624","3,702","19,134"
2025-12,2614053000,서구 동대신3동,기타,"29,450","1,264","17,997"
2025-12,2614054000,서구 서대신1동,20대,"21,823","3,318","7,322"
2025-12,2614054000,서구 서대신1동,20대미만,"27,241",664,"5,222"
2025-12,2614054000,서구 서대신1동,30대,"28,632","4,035","6,683"
2025-12,2614054000,서구 서대신1동,40대,"38,408","4,990","8,877"
2025-12,2614054000,서구 서대신1동,50대,"36,769","5,346","11,628"
2025-12,2614054000,서구 서대신1동,60대,"39,000","3,606","12,630"
2025-12,2614054000,서구 서대신1동,기타,"51,897","1,352","9,942"
2025-12,2614056000,서구 서대신3동,20대,"4,434","1,133","2,553"
2025-12,2614056000,서구 서대신3동,20대미만,"9,487","3,191","3,407"
2025-12,2614056000,서구 서대신3동,30대,"6,477","1,688","3,037"
2025-12,2614056000,서구 서대신3동,40대,"9,379","2,154","4,317"
2025-12,2614056000,서구 서대신3동,50대,"10,647","1,749","5,705"
2025-12,2614056000,서구 서대신3동,60대,"11,192","1,171","6,540"
2025-12,2614056000,서구 서대신3동,기타,"14,733",346,"4,728"
2025-12,2614057000,서구 서대신4동,20대,"9,469","1,506","4,650"
2025-12,2614057000,서구 서대신4동,20대미만,"13,179","1,675","2,955"
2025-12,2614057000,서구 서대신4동,30대,"8,838","1,202","3,240"
2025-12,2614057000,서구 서대신4동,40대,"16,416","1,710","4,474"
2025-12,2614057000,서구 서대신4동,50대,"18,368","1,819","6,225"
2025-12,2614057000,서구 서대신4동,60대,"22,129","1,654","7,686"
2025-12,2614057000,서구 서대신4동,기타,"24,253",603,"6,495"
2025-12,2614059000,서구 부민동,20대,"10,854","4,603","6,449"
2025-12,2614059000,서구 부민동,20대미만,"8,593","1,322","3,321"
2025-12,2614059000,서구 부민동,30대,"7,544","1,360","2,976"
2025-12,2614059000,서구 부민동,40대,"10,630","1,580","2,803"
2025-12,2614059000,서구 부민동,50대,"11,537","1,862","4,456"
2025-12,2614059000,서구 부민동,60대,"13,661",927,"4,152"
2025-12,2614059000,서구 부민동,기타,"16,866",431,"3,025"
2025-12,2614061500,서구 아미동,20대,"9,654","1,360","5,716"
2025-12,2614061500,서구 아미동,20대미만,"3,667",40,"1,125"
2025-12,2614061500,서구 아미동,30대,"11,512","2,110","6,398"
2025-12,2614061500,서구 아미동,40대,"8,746","2,477","5,476"
2025-12,2614061500,서구 아미동,50대,"13,140","2,232","7,501"
2025-12,2614061500,서구 아미동,60대,"22,376","1,921","8,518"
2025-12,2614061500,서구 아미동,기타,"38,684",786,"9,211"
2025-12,2614063000,서구 초장동,20대,"3,639",575,"2,647"
2025-12,2614063000,서구 초장동,20대미만,"2,128","1,024","1,375"
2025-12,2614063000,서구 초장동,30대,"3,846",254,"1,244"
2025-12,2614063000,서구 초장동,40대,"5,823",748,"1,725"
2025-12,2614063000,서구 초장동,50대,"9,329",827,"3,036"
2025-12,2614063000,서구 초장동,60대,"14,489",848,"3,471"
2025-12,2614063000,서구 초장동,기타,"24,673",439,"3,207"
2025-12,2614064000,서구 충무동,20대,"13,752","1,612","3,619"
2025-12,2614064000,서구 충무동,20대미만,"6,251","2,190","2,221"
2025-12,2614064000,서구 충무동,30대,"9,184","3,221","3,522"
2025-12,2614064000,서구 충무동,40대,"12,486","3,532","4,448"
2025-12,2614064000,서구 충무동,50대,"15,773","4,258","8,008"
2025-12,2614064000,서구 충무동,60대,"19,079","3,041","9,152"
2025-12,2614064000,서구 충무동,기타,"28,892","1,246","7,517"
2025-12,2614065000,서구 남부민1동,20대,"2,587",283,"1,192"
2025-12,2614065000,서구 남부민1동,20대미만,"1,600",30,471
2025-12,2614065000,서구 남부민1동,30대,"3,247",496,"1,002"
2025-12,2614065000,서구 남부민1동,40대,"3,522",652,"1,777"
2025-12,2614065000,서구 남부민1동,50대,"8,534","1,293","2,355"
2025-12,2614065000,서구 남부민1동,60대,"8,855",623,"3,807"
2025-12,2614065000,서구 남부민1동,기타,"12,931",405,"3,327"
2025-12,2614066000,서구 남부민2동,20대,"7,596","1,424","3,257"
2025-12,2614066000,서구 남부민2동,20대미만,"7,190",690,"2,327"
2025-12,2614066000,서구 남부민2동,30대,"9,187","1,543","5,548"
2025-12,2614066000,서구 남부민2동,40대,"12,213","1,579","6,474"
2025-12,2614066000,서구 남부민2동,50대,"20,991","2,746","8,533"
2025-12,2614066000,서구 남부민2동,60대,"30,804","2,071","11,059"
2025-12,2614066000,서구 남부민2동,기타,"38,901",733,"9,027"
2025-12,2614068000,서구 암남동,20대,"27,783","9,831","16,904"
2025-12,2614068000,서구 암남동,20대미만,"18,574",993,"6,195"
2025-12,2614068000,서구 암남동,30대,"29,499","11,813","17,888"
2025-12,2614068000,서구 암남동,40대,"37,891","12,543","22,087"
2025-12,2614068000,서구 암남동,50대,"48,509","13,722","28,507"
2025-12,2614068000,서구 암남동,60대,"63,207","7,874","28,535"
2025-12,2614068000,서구 암남동,기타,"61,065","1,718","20,951"
2025-12,2617051000,동구 초량1동,20대,"3,771","3,455","10,720"
2025-12,2617051000,동구 초량1동,20대미만,"2,326",392,"2,912"
2025-12,2617051000,동구 초량1동,30대,"4,404","5,512","10,124"
2025-12,2617051000,동구 초량1동,40대,"5,108","5,240","9,095"
2025-12,2617051000,동구 초량1동,50대,"8,438","4,261","10,370"
2025-12,2617051000,동구 초량1동,60대,"11,560","2,231","9,815"
2025-12,2617051000,동구 초량1동,기타,"12,426",913,"7,198"
2025-12,2617052000,동구 초량2동,20대,"5,773","2,415","12,900"
2025-12,2617052000,동구 초량2동,20대미만,"4,218","2,648","5,724"
2025-12,2617052000,동구 초량2동,30대,"5,246","3,473","12,713"
2025-12,2617052000,동구 초량2동,40대,"8,163","3,294","11,865"
2025-12,2617052000,동구 초량2동,50대,"13,639","3,672","14,312"
2025-12,2617052000,동구 초량2동,60대,"18,262","3,975","13,724"
2025-12,2617052000,동구 초량2동,기타,"29,186","1,141","10,154"
2025-12,2617053000,동구 초량3동,20대,"23,305","10,561","35,181"
2025-12,2617053000,동구 초량3동,20대미만,"17,328","2,465","12,075"
2025-12,2617053000,동구 초량3동,30대,"36,315","16,331","38,168"
2025-12,2617053000,동구 초량3동,40대,"35,128","13,900","37,119"
2025-12,2617053000,동구 초량3동,50대,"30,122","13,923","45,079"
2025-12,2617053000,동구 초량3동,60대,"25,694","6,942","36,732"
2025-12,2617053000,동구 초량3동,기타,"26,357","2,875","21,596"
2025-12,2617055000,동구 초량6동,20대,"2,033",246,"1,222"
2025-12,2617055000,동구 초량6동,20대미만,"1,744",843,"1,356"
2025-12,2617055000,동구 초량6동,30대,"1,664",185,"1,309"
2025-12,2617055000,동구 초량6동,40대,"2,424",365,"1,408"
2025-12,2617055000,동구 초량6동,50대,"3,979",502,"1,812"
2025-12,2617055000,동구 초량6동,60대,"5,202",214,"1,649"
2025-12,2617055000,동구 초량6동,기타,"6,856",51,"1,010"
2025-12,2617056000,동구 수정1동,20대,"5,957","1,755","3,809"
2025-12,2617056000,동구 수정1동,20대미만,"6,003",614,"2,466"
2025-12,2617056000,동구 수정1동,30대,"5,503","1,956","3,943"
2025-12,2617056000,동구 수정1동,40대,"8,115","1,773","4,046"
2025-12,2617056000,동구 수정1동,50대,"10,889","1,861","4,920"
2025-12,2617056000,동구 수정1동,60대,"12,422","1,111","5,215"
2025-12,2617056000,동구 수정1동,기타,"19,590",395,"4,842"
2025-12,2617057000,동구 수정2동,20대,"8,323","1,558","3,505"
2025-12,2617057000,동구 수정2동,20대미만,"7,740","1,678","2,673"
2025-12,2617057000,동구 수정2동,30대,"13,610","2,983","4,973"
2025-12,2617057000,동구 수정2동,40대,"15,000","3,656","5,832"
2025-12,2617057000,동구 수정2동,50대,"16,890","4,125","8,366"
2025-12,2617057000,동구 수정2동,60대,"27,090","2,653","6,741"
2025-12,2617057000,동구 수정2동,기타,"34,785",736,"6,709"
2025-12,2617059000,동구 수정4동,20대,"3,036",371,667
2025-12,2617059000,동구 수정4동,20대미만,"1,902",3,481
2025-12,2617059000,동구 수정4동,30대,"2,678",180,652
2025-12,2617059000,동구 수정4동,40대,"3,795",256,701
2025-12,2617059000,동구 수정4동,50대,"9,306",548,"1,623"
2025-12,2617059000,동구 수정4동,60대,"12,861",484,"1,765"
2025-12,2617059000,동구 수정4동,기타,"20,139",242,"1,875"
2025-12,2617060000,동구 수정5동,20대,"5,486",304,999
2025-12,2617060000,동구 수정5동,20대미만,"5,304",526,899
2025-12,2617060000,동구 수정5동,30대,"4,792",642,"1,193"
2025-12,2617060000,동구 수정5동,40대,"8,273",828,"1,340"
2025-12,2617060000,동구 수정5동,50대,"13,273","1,268","2,127"
2025-12,2617060000,동구 수정5동,60대,"18,567",774,"2,793"
2025-12,2617060000,동구 수정5동,기타,"31,726",126,"2,356"
2025-12,2617064500,동구 좌천동,20대,"5,113",640,"4,321"
2025-12,2617064500,동구 좌천동,20대미만,"2,016",842,"3,287"
2025-12,2617064500,동구 좌천동,30대,"5,286",873,"5,868"
2025-12,2617064500,동구 좌천동,40대,"5,008","1,236","5,808"
2025-12,2617064500,동구 좌천동,50대,"9,784","1,781","8,333"
2025-12,2617064500,동구 좌천동,60대,"13,301","1,333","9,003"
2025-12,2617064500,동구 좌천동,기타,"17,608",586,"10,224"
2025-12,2617065000,동구 범일1동,20대,"12,315","1,620","4,484"
2025-12,2617065000,동구 범일1동,20대미만,"6,944",659,"1,938"
2025-12,2617065000,동구 범일1동,30대,"14,549","1,826","5,484"
